datetime,open,high,low,close,volume
2025-07-29,234.14999,234.72,230.31,231.00999,33684300
2025-07-28,233.35001,234.28999,232.25,232.78999,26300100
2025-07-25,232.22,232.48,231.17999,231.44,28712100
2025-07-24,229.17,236.0,228.64,232.23,42902300
2025-07-23,228.47,228.78999,227.09,228.28999,28294900
2025-07-22,229.67999,230.0,226.35001,227.47,37483700
2025-07-21,225.84,229.69,225.64999,229.3,40297600
2025-07-18,225.14,226.39999,222.98,226.13,37833800
2025-07-17,223.32001,224.5,222.50999,223.88,31855800
2025-07-16,225.88,226.10001,222.17999,223.19,39535900
2025-07-15,226.2,227.27,225.46001,226.35001,34907300
2025-07-14,225.07001,226.66,224.24001,225.69,35702600
2025-07-11,223.58,226.67999,222.37,225.02,50518300
2025-07-10,221.55,222.78999,219.7,222.25999,30370600
2025-07-09,221.07001,224.28999,220.47,222.53999,38155100
2025-07-08,223.92,224.0,218.42999,219.36,45692000
2025-07-07,223.0,224.28999,222.37,223.47,36604100
2025-07-03,221.82001,224.00999,221.36,223.41,29632400
2025-07-02,219.73,221.60001,219.06,219.92,30894200
2025-07-01,219.5,221.88,217.92999,220.46001,39256800
2025-06-30,223.52,223.82001,219.12,219.39,58887800
2025-06-27,219.92,223.3,216.74001,223.3,119217100
2025-06-26,213.12,218.03999,212.00999,217.12,50480800
2025-06-25,214.62,216.03,211.11,211.99001,31755700
2025-06-24,212.14,214.34,211.05,212.77,38378800
2025-06-23,209.78999,210.39,207.31,208.47,37311700
2025-06-20,214.67999,214.89,208.27,209.69,75350700
2025-06-18,215.09,217.96001,212.34,212.52,44360500
2025-06-17,215.2,217.41,214.56,214.82001,32086300
2025-06-16,212.31,217.06,211.60001,216.10001,33284200
2025-06-13,209.96001,214.05,209.62,212.10001,29337800
2025-06-12,211.78,213.58,211.33,213.24001,27640000
2025-06-11,217.41,218.39999,212.89,213.2,39326000
2025-06-10,216.78,217.69,214.14999,217.61,31303300
2025-06-09,214.75,217.85001,212.88,216.98,38102500
2025-06-06,212.39999,213.87,210.5,213.57001,39832500
2025-06-05,209.55,212.81,207.56,207.91,51864200
2025-06-04,206.55,208.17999,205.17999,207.23,29915600
2025-06-03,207.11,208.95,205.03,205.71001,33139100
2025-06-02,204.98,207.0,202.67999,206.64999,29113300
2025-05-30,204.84,205.99001,201.7,205.00999,51679400
2025-05-29,208.03,208.81,204.23,205.7,34650000
2025-05-28,205.92,207.66,204.41,204.72,28549800
2025-05-27,203.09,206.69,202.19,206.02,34892000
2025-05-23,198.89999,202.37,197.85001,200.99001,33393500
2025-05-22,201.38,205.75999,200.16,203.10001,38938900
2025-05-21,201.61,203.46001,200.06,201.12,42460900
2025-05-20,204.63,205.59,202.64999,204.07001,29470400
2025-05-19,201.64999,206.62,201.25999,206.16,34314800
2025-05-16,206.85001,206.85001,204.37,205.59,43318500
2025-05-15,206.45,206.88,202.67,205.17,64347300
2025-05-14,211.45,211.92999,208.85001,210.25,38492100
2025-05-13,211.08,214.84,210.10001,211.37,56193700
2025-05-12,210.71001,211.66,205.75,208.64,75205000
2025-05-09,193.38,194.69,191.16,193.06,29663100
2025-05-08,191.42999,194.33,188.82001,192.08,41043600
2025-05-07,185.56,190.99001,185.00999,188.71001,43948600
2025-05-06,184.57001,187.92999,183.85001,185.00999,29314100
2025-05-05,186.50999,188.17999,185.53,186.35001,35217500
2025-05-02,191.44,192.88,186.39999,189.98,77903500
2025-05-01,190.63,191.81,187.5,190.2,74266000
2025-04-30,182.17,185.05,178.85001,184.42,55176500
2025-04-29,183.99001,188.02,183.67999,187.39,41667300
2025-04-28,190.11,190.22,184.89,187.7,33224700
2025-04-25,187.62,189.94,185.49001,188.99001,36414300
2025-04-24,180.92,186.74001,180.17999,186.53999,43763200
2025-04-23,183.45,187.38,180.19,180.60001,63470100
2025-04-22,169.85001,176.78,169.35001,173.17999,56607200
2025-04-21,169.60001,169.60001,165.28999,167.32001,48126100
2025-04-17,176.0,176.21001,172.0,172.61,44468400
2025-04-16,176.28999,179.10001,171.41,174.33,51875300
2025-04-15,181.41,182.35001,177.92999,179.59,43642000
2025-04-14,186.84,187.44,179.23,182.12,48002500
2025-04-11,179.92999,185.86,178.0,184.87,50594300
2025-04-10,185.44,186.87,175.85001,181.22,68302000
2025-04-09,172.12,192.64999,169.92999,191.10001,116804300
2025-04-08,185.23,185.89999,168.57001,170.66,87710400
2025-04-07,162.0,183.41,161.38,175.25999,109327100
2025-04-04,167.14999,178.14,166.0,171.0,123159400
2025-04-03,183.0,184.13,176.92,178.41,95553600
2025-04-02,187.66,198.34,187.66,196.00999,53679200
2025-04-01,187.86,193.92999,187.2,192.17,41267300
2025-03-31,188.19,191.33,184.39999,190.25999,63547600
2025-03-28,198.42,199.25999,191.88,192.72,52548200
2025-03-27,200.89,203.78999,199.28,201.36,27317700
2025-03-26,205.84,206.00999,199.92999,201.13,32855300
2025-03-25,203.60001,206.21001,203.22,205.71001,31171200
2025-03-24,200.0,203.64,199.95,203.25999,41625400
2025-03-21,192.89999,196.99001,192.52,196.21001,60056900
2025-03-20,193.07001,199.32001,192.3,194.95,38921100
