datetime,open,high,low,close,volume
2025-08-04,528.27002,538.25,528.13,535.64001,25328300
2025-08-01,535.0,535.79999,520.85999,524.10999,28977600
2025-07-31,555.22998,555.45001,531.90002,533.5,51617300
2025-07-30,515.16998,515.95001,509.44,513.23999,26380400
2025-07-29,515.53003,517.62,511.56,512.57001,16469200
2025-07-28,514.08002,515.0,510.12,512.5,14308000
2025-07-25,512.46997,518.28998,510.35999,513.71002,19125700
2025-07-24,508.76999,513.66998,507.29999,510.88,16107000
2025-07-23,506.75,506.79001,500.70001,505.87,16396600
2025-07-22,510.97,511.20001,505.26999,505.26999,13868600
2025-07-21,506.70999,512.09003,505.54999,510.06,14066800
2025-07-18,514.47998,514.64001,507.42999,510.04999,21209700
2025-07-17,505.67999,513.37,505.62,511.70001,17503100
2025-07-16,505.17999,506.72,501.89001,505.62,15154400
2025-07-15,503.01999,508.29999,502.79001,505.82001,14927200
2025-07-14,501.51999,503.97,501.03,503.01999,12058800
2025-07-11,498.47,505.03,497.79999,503.32001,16459500
2025-07-10,503.04999,504.44,497.75,501.48001,16492100
2025-07-09,500.29999,506.78,499.73999,503.51001,18659500
2025-07-08,497.23999,498.20001,494.10999,496.62,11846600
2025-07-07,497.38,498.75,495.23001,497.72,13981600
2025-07-03,493.81,500.13,493.44,498.84,13984800
2025-07-02,489.98999,493.5,488.70001,491.09,16319600
2025-07-01,496.47,498.04999,490.98001,492.04999,19945400
2025-06-30,497.04001,500.76001,495.32999,497.41,28369000
2025-06-27,497.54999,499.29999,493.03,495.94,34539200
2025-06-26,492.98001,498.04001,492.81,497.45001,21578900
2025-06-25,492.04001,494.56,489.39001,492.26999,17495100
2025-06-24,488.95001,491.85001,486.79999,490.10999,22305600
2025-06-23,478.20999,487.75,472.51001,486.0,24864000
2025-06-20,482.23001,483.45999,476.87,477.39999,37576200
2025-06-18,478.0,481.0,474.45999,480.23999,17526500
2025-06-17,475.39999,478.73999,474.07999,478.04001,15414100
2025-06-16,475.20999,480.69,475.0,479.14001,15626100
2025-06-13,476.41,479.17999,472.76001,474.95999,16814500
2025-06-12,475.01999,480.42001,473.51999,478.87,18950600
2025-06-11,470.01999,475.47,469.66,472.62,16399200
2025-06-10,471.19,472.79999,466.95999,470.92001,15375900
2025-06-09,469.70001,473.42999,468.62,472.75,16469900
2025-06-06,470.09,473.34,468.78,470.38,15285600
2025-06-05,464.95999,469.64999,464.03,467.67999,20131700
2025-06-04,464.0,465.69,463.01999,463.87,14162700
2025-06-03,461.47,464.14001,460.85999,462.97,15743800
2025-06-02,457.14001,462.10999,456.89001,461.97,16626500
2025-05-30,459.72,461.67999,455.54001,460.35999,34770500
2025-05-29,461.54999,461.72,455.31,458.67999,13974800
2025-05-28,461.22,462.51999,456.92999,457.35999,17086300
2025-05-27,456.48001,460.95001,456.12,460.69,20974300
2025-05-23,449.98001,453.69,448.91,450.17999,16883500
2025-05-22,454.95001,460.25,453.89999,454.85999,18025600
2025-05-21,454.57001,457.78,451.81,452.57001,19216900
2025-05-20,455.59,458.34,454.32001,458.17001,15441800
2025-05-19,450.88,459.59,450.79999,458.87,21336500
2025-05-16,452.04999,454.35999,448.73001,454.26999,23849800
2025-05-15,450.76999,456.19,450.42999,453.13,21992300
2025-05-14,448.14001,453.89999,448.14001,452.94,19902800
2025-05-13,447.78,450.67001,445.35999,449.14001,23618800
2025-05-12,445.94,449.37,439.78,449.26001,22821900
2025-05-09,440.0,440.73999,435.88,438.73001,15324200
2025-05-08,437.92999,443.67001,435.66,438.17001,23491300
2025-05-07,433.84,438.12,431.10999,433.35001,23295300
2025-05-06,432.20001,437.73001,431.17001,433.31,15104200
2025-05-05,432.87,439.5,432.10999,436.17001,20136100
2025-05-02,431.73999,439.44,429.98999,435.28,30757400
2025-05-01,431.10999,436.98999,424.89999,425.39999,58938100
2025-04-30,390.29999,396.66,384.44,395.26001,36461100
2025-04-29,391.29999,395.10001,390.38,394.04001,14974000
2025-04-28,391.95999,392.73999,386.64001,391.16,16579400
2025-04-25,387.0,392.16,384.60001,391.85001,18973200
2025-04-24,375.70001,388.45001,375.19,387.29999,22232300
2025-04-23,376.06,380.39001,373.01999,374.39001,20545500
2025-04-22,363.38,367.76999,359.85999,366.82001,19485000
2025-04-21,362.82001,364.48001,355.67001,359.12,20807300
2025-04-17,373.75,374.32001,366.89001,367.78,20943700
2025-04-16,380.67001,381.60999,368.0,371.60999,21967800
2025-04-15,388.51001,391.89001,384.16,385.73001,17199900
2025-04-14,393.22,394.64999,384.20999,387.81,19251200
2025-04-11,380.64001,390.04999,378.89001,388.45001,23839200
2025-04-10,382.06,383.89999,367.79999,381.35001,38024400
2025-04-09,353.54001,393.23001,353.10001,390.48999,50199700
2025-04-08,368.26001,373.64999,350.25,354.56,35868900
2025-04-07,350.88,371.0,344.79001,357.85999,50425000
2025-04-04,364.13,374.59,359.48001,359.84,49209900
2025-04-03,374.79001,377.48001,369.35001,373.10999,30198000
2025-04-02,377.97,385.07999,376.62,382.14001,16092600
2025-04-01,374.64999,382.85001,373.23001,382.19,19689500
2025-03-31,372.54001,377.07001,367.23999,375.39001,35184700
2025-03-28,388.07999,389.13,376.92999,378.79999,21632000
2025-03-27,390.13,392.23999,387.39999,390.57999,13766800
2025-03-26,395.0,395.31,388.57001,389.97,16108400
